Finished On,Title,Duration
12/07/2023,"Daily Meditation",618
12/06/2023,"Daily Meditation",24
12/06/2023,"Daily Meditation",612
12/06/2023,"Daily Meditation",613
12/05/2023,"Daily Meditation",643
12/05/2023,"Daily Meditation",622
12/05/2023,"Daily Meditation",714
12/03/2023,"Daily Meditation",613
12/03/2023,"Solitude and Loneliness",429
12/02/2023,"Daily Meditation",619
12/01/2023,"Daily Meditation",614
12/01/2023,"Daily Meditation",619
12/01/2023,"Daily Meditation",621
11/30/2023,"Daily Meditation",631
11/28/2023,"Daily Meditation",621
11/25/2023,"Daily Meditation",614
11/24/2023,"Daily Meditation",362
11/23/2023,"Daily Meditation",678
11/23/2023,"Daily Meditation",811
11/22/2023,"Daily Meditation",604
11/22/2023,"Daily Meditation",670
11/20/2023,"Daily Meditation",455
11/20/2023,"Looking into Desire & Fear",2132
11/20/2023,"Introduction",181
11/17/2023,"Daily Meditation",635
11/16/2023,"Daily Meditation",623
11/14/2023,"Daily Meditation",628
11/14/2023,"Daily Meditation",621
11/13/2023,"Daily Meditation",631
11/13/2023,"Daily Meditation",618
11/13/2023,"Daily Meditation",699
11/13/2023,"Daily Meditation",614
11/11/2023,"Moment",59
11/11/2023,"Imagining It’s the Last Time",110
11/11/2023,"A Caricature of Yourself",257
11/11/2023,"The Freedom of Emptiness",462
11/11/2023,"The Paradox of Psychedelics",594
11/11/2023,"Notice What Could Be",221
11/11/2023,"Relating to Our Future Self",219
11/11/2023,"Moment",50
11/11/2023,"Don't Meditate Because It's Good for You",410
11/11/2023,"You Are the External World",325
11/11/2023,"Helping and Being Helped",355
11/11/2023,"Death-Bed Visualization",382
11/11/2023,"The Joy of Meditation",212
11/11/2023,"Reflections on Death and Time",382
11/11/2023,"Moment",65
11/11/2023,"Love and Meditation",141
11/11/2023,"The Impossibility of Free Will",432
11/11/2023,"Laws of Behavior Change",644
11/11/2023,"Mindfulness and Physical Suffering",326
11/11/2023,"Autonomy and Emptiness",138
11/11/2023,"Zen Buddhism and Stoicism",598
11/11/2023,"Daily Meditation",620
11/11/2023,"Daily Meditation",614
11/10/2023,"Daily Meditation",654
11/09/2023,"Daily Meditation",610
11/07/2023,"Daily Meditation",608
11/03/2023,"The Second Arrow",181
11/03/2023,"Making Peace with Anxiety",533
11/03/2023,"Death-Bed Visualization",379
11/03/2023,"Planning",617
11/03/2023,"Daily Meditation",608
11/02/2023,"First-World Problems",525
11/02/2023,"Try Something New",471
11/02/2023,"See the Cliff",571
11/02/2023,"Find Solitude",460
11/02/2023,"Now Hear This",406
11/02/2023,"Unpack Hunger",308
11/02/2023,"Leverage Boredom",476
11/02/2023,"Enter the Wilderness",512
11/02/2023,"Be a 2-Percenter",551
11/02/2023,"Daily Meditation",605
11/01/2023,"The Comfort Conundrum",496
10/31/2023,"Daily Meditation",623
10/28/2023,"Daily Meditation",656
10/28/2023,"Daily Meditation",656
10/27/2023,"Moment",66
10/26/2023,"Daily Meditation",611
10/26/2023,"Daily Meditation",621
10/25/2023,"Daily Meditation",614
10/25/2023,"Daily Meditation",614
10/25/2023,"Ethics and Emptiness",4465
10/23/2023,"Break Out of Routine",447
10/23/2023,"Rest and Allow",617
10/23/2023,"The Direct Approach",680
10/23/2023,"Introduction (Sam Harris)",104
10/23/2023,"Who Am I?",677
10/23/2023,"Who Am I?",677
10/22/2023,"Daily Meditation",643
10/22/2023,"Daily Meditation",611
10/22/2023,"Daily Meditation",611
10/22/2023,"Daily Meditation",618
10/21/2023,"Daily Meditation",620
10/21/2023,"The Habit of Force",574
10/20/2023,"Too Many Needles",572
10/20/2023,"Daily Meditation",611
10/20/2023,"Inconceivable",571
10/20/2023,"What Is an Interruption, Anyway?",612
10/19/2023,"Moment",39
10/19/2023,"The Power of Complaining",92
10/19/2023,"The Last Time",277
10/19/2023,"Lose the Monkey",372
10/19/2023,"In the Heard, Only the Heard",370
10/19/2023,"Retracing Your Steps",165
10/19/2023,"What Is Attachment?",430
10/19/2023,"Moment",43
10/19/2023,"Treating Setbacks as Tests",430
10/19/2023,"Why Meditate?",78
10/19/2023,"Beginning",251
10/19/2023,"Laws of Behavior Change",641
10/19/2023,"It's Worse Than You Think",581
10/19/2023,"The Unmovable Mind",370
10/19/2023,"Daily Meditation",628
10/19/2023,"Daily Meditation",628
10/19/2023,"Daily Meditation",628
10/18/2023,"Daily Meditation",615
10/16/2023,"Daily Meditation",654
10/16/2023,"Daily Meditation",654
10/15/2023,"Daily Meditation",609
10/15/2023,"A Blessing for the Morning Light",514
10/15/2023,"Why Meditate?",78
10/15/2023,"Daily Meditation",665
10/13/2023,"Honesty and Self-Forgiveness",502
10/13/2023,"Moment",77
10/11/2023,"Daily Meditation",605
10/10/2023,"Daily Meditation",602
10/09/2023,"Daily Meditation",610
10/09/2023,"Daily Meditation",602
10/09/2023,"Facing Finitude",595
10/09/2023,"Lose the Monkey",372
10/09/2023,"Everything is Waiting For You",131
10/09/2023,"Shame and Compassion",409
10/09/2023,"The Freedom of Emptiness",460
10/09/2023,"Moment",53
10/09/2023,"The Benefits of Meditation",348
10/09/2023,"The Paradox of Well-Being",230
10/09/2023,"The Storytelling Frame",268
10/09/2023,"The Problems with Self-Doubt",329
10/09/2023,"The Benefit of Cosmopolitanism",161
10/09/2023,"Fluid vs. Crystallized Intelligence",637
10/09/2023,"Moment",42
10/09/2023,"The Three or Four Hours Rule",592
10/09/2023,"The Wrong Kind of Anger",159
10/09/2023,"The Stoic Approach to Failure",439
10/09/2023,"Why Meditate?",78
10/09/2023,"A Moving Goal Post",374
10/09/2023,"The Done List",582
10/09/2023,"Moment",35
10/09/2023,"Forgiveness and Remembering",307
10/09/2023,"Sudden Awakening, Gradual Cultivation",120
10/09/2023,"The Veil of Thought",120
10/09/2023,"The Illusion of Free Will",335
10/09/2023,"Attention vs. Consciousness",292
10/09/2023,"Effortless Achievement",302
10/09/2023,"Moment",131
10/09/2023,"Useful Regret",84
10/09/2023,"The Mind Reveals the World",599
10/09/2023,"The Meaning of Life’s Meaning",209
10/09/2023,"Self and No-Self",515
10/09/2023,"The Nature of the Self",505
10/09/2023,"Working with Anxiety",297
10/09/2023,"Moment",56
10/09/2023,"The Multiplicity of Selves",585
10/09/2023,"Being a First-Class Noticer",103
10/09/2023,"Embracing the Life You Have",525
10/09/2023,"The Unmovable Mind",370
10/09/2023,"Our Ever-Changing Selves",134
10/09/2023,"Begin Again",212
10/09/2023,"Moment",77
10/09/2023,"The Artifact of Personhood",92
10/09/2023,"The Mystery of Being",542
10/09/2023,"A Liberated Mind",461
10/09/2023,"Let It Happen by Itself",143
10/09/2023,"Costs of Procrastination",632
10/09/2023,"Finding Awe in the Mundane",540
10/09/2023,"Moment",54
10/09/2023,"Eyewitness",445
10/09/2023,"Unchosen Suffering",104
10/09/2023,"Working with Procrastination",510
10/09/2023,"Constructions of Mind",448
10/09/2023,"You Are the Obstacle",213
10/09/2023,"Roland Reflects on Cancer Diagnosis",544
10/09/2023,"Moment",32
10/09/2023,"Getting Lost",580
10/09/2023,"The Joy of Meditation",209
10/09/2023,"Solitude as Nourishment",366
10/09/2023,"Emptiness and Awareness",590
10/09/2023,"Honesty",268
10/09/2023,"Rational vs. Reasonable Decisions",440
10/09/2023,"Moment",35
10/09/2023,"A Playful Perspective",270
10/09/2023,"Planning",617
10/09/2023,"A Gratifying Life",124
10/09/2023,"Love and Meditation",139
10/09/2023,"Signs of Mindfulness",324
10/09/2023,"Mindful Daydreaming",422
10/09/2023,"Moment",62
10/09/2023,"The Mind Is Empty",176
10/09/2023,"The Hard Problem",279
10/09/2023,"Quality of Time and Attention",230
10/09/2023,"Awareness in Everyday Life",257
10/09/2023,"The Pillars of Practice",328
10/09/2023,"What is Status?",590
10/07/2023,"The Mystery of Being",1800
10/07/2023,"Moment",76
10/07/2023,"Peak Emotional States",293
10/07/2023,"Rest",314
10/07/2023,"Anything Can Happen",130
10/07/2023,"What Is Addiction?",588
10/07/2023,"The Mind Is Dynamic ",119
10/07/2023,"Unnecessary Suffering",114
10/07/2023,"Daily Meditation",670
10/07/2023,"Daily Meditation",611
10/07/2023,"The Science of Happiness",5025
10/07/2023,"There Is No Future",257
10/06/2023,"Leaning into Relationships",691
10/06/2023,"Leaning into Relationships",691
10/06/2023,"A Half-Full Glass",691
10/06/2023,"Daily Meditation",615
10/06/2023,"Eudaimonia",756
10/06/2023,"Daily Meditation",646
10/05/2023,"Hedonic Well-Being",602
10/05/2023,"The Pursuit of Happiness",691
10/05/2023,"Daily Meditation",619
10/04/2023,"Daily Meditation",615
10/04/2023,"Daily Meditation",615
10/02/2023,"Daily Meditation",611
10/02/2023,"Daily Meditation",617
10/02/2023,"Daily Meditation",627
10/02/2023,"Daily Meditation",627
10/01/2023,"Daily Meditation",619
10/01/2023,"Daily Meditation",619
10/01/2023,"Daily Meditation",617
09/30/2023,"Daily Meditation",607
09/30/2023,"Daily Meditation",607
09/29/2023,"Daily Meditation",622
09/29/2023,"Daily Meditation",622
09/28/2023,"Enter the Wilderness",512
09/28/2023,"Be a 2-Percenter",551
09/28/2023,"The Comfort Conundrum",496
09/27/2023,"Daily Meditation",634
09/26/2023,"Daily Meditation",638
09/24/2023,"Daily Meditation",612
09/24/2023,"Daily Meditation",612
09/21/2023,"Your Original Face",510
09/21/2023,"Introduction",113
09/20/2023,"Daily Meditation",609
09/20/2023,"Daily Meditation",609
09/17/2023,"Daily Meditation",660
09/17/2023,"Daily Meditation",619
09/17/2023,"Daily Meditation",619
09/16/2023,"Daily Meditation",611
09/16/2023,"Meeting Things As They Are",655
09/16/2023,"Daily Meditation",623
09/16/2023,"Daily Meditation",670
09/16/2023,"Daily Meditation",638
09/16/2023,"Daily Meditation",624
09/16/2023,"Daily Meditation",609
09/16/2023,"Daily Meditation",611
09/14/2023,"The Most Important Thing",4919
09/14/2023,"Here Now",612
09/14/2023,"Natural Loving-kindness",660
09/14/2023,"Non-Dual Awareness",839
09/14/2023,"Shifting from Head to Heart",756
09/14/2023,"Local Awareness and Attention",773
09/14/2023,"Glimpsing with Open Eyes",746
09/14/2023,"Awakening Emotions",623
09/14/2023,"The Memory Door",644
09/14/2023,"Beyond the Meditator",550
09/14/2023,"The Most Important Thing",4919
09/13/2023,"Daily Meditation",648
09/13/2023,"Daily Meditation",648
09/13/2023,"Daily Meditation",616
09/13/2023,"Reflections on Death and Time",379
09/13/2023,"Working with Stress",565
09/13/2023,"Daily Meditation",617
09/12/2023,"Daily Meditation",747
09/12/2023,"Daily Meditation",622
09/12/2023,"Daily Meditation",611
09/12/2023,"Meeting Things As They Are",655
09/12/2023,"Daily Meditation",623
09/12/2023,"Daily Meditation",670
09/12/2023,"Daily Meditation",638
09/12/2023,"Daily Meditation",619
09/09/2023,"Moment",34
09/08/2023,"Daily Meditation",653
09/08/2023,"Daily Meditation",653
09/07/2023,"The Power of Conditional Thinking",432
09/07/2023,"Daily Meditation",612
09/05/2023,"Local Awareness and Attention",773
09/05/2023,"Glimpsing with Open Eyes",746
09/05/2023,"Awakening Emotions",623
09/05/2023,"The Memory Door",644
09/05/2023,"Beyond the Meditator",550
09/05/2023,"A Glimpse of Awakening",603
09/04/2023,"Daily Meditation",648
09/04/2023,"Eating Mindfully",345
09/04/2023,"Daily Meditation",616
09/04/2023,"Daily Meditation",616
09/04/2023,"The Power of Thought",269
09/04/2023,"Common Misunderstandings",104
09/03/2023,"Hitchhiker's Guide to Catastrophe",386
09/03/2023,"Daily Meditation",613
09/02/2023,"Daily Meditation",624
09/01/2023,"Daily Meditation",626
08/31/2023,"Silence and Pilgrimage",3439
08/30/2023,"Meditation 9",612
08/30/2023,"Daily Meditation",612
08/29/2023,"Daily Meditation",610
08/29/2023,"Daily Meditation",610
08/28/2023,"Daily Meditation",610
08/28/2023,"Daily Meditation",630
08/28/2023,"Daily Meditation",610
08/28/2023,"Meeting Things As They Are",655
08/28/2023,"Daily Meditation",757
08/28/2023,"Daily Meditation",630
08/28/2023,"Daily Meditation",610
08/28/2023,"Meeting Things As They Are",655
08/27/2023,"Daily Meditation",620
08/27/2023,"Daily Meditation",676
08/27/2023,"Daily Meditation",630
08/27/2023,"Daily Meditation",860
08/26/2023,"And Not This",1800
08/26/2023,"A State of Non-Distraction",1800
08/26/2023,"Bend It like Buddhism",352
08/26/2023,"Barbieheimer",299
08/26/2023,"Visiting My Childhood Home",269
08/26/2023,"Reflecting on Reflections",279
08/26/2023,"Soft Butter",295
08/26/2023,"Are Waking Up Teachers Enlightened?",353
08/26/2023,"Soda on a Submarine",371
08/26/2023,"Listen Carefully",295
08/26/2023,"City of Angels",303
08/26/2023,"Lunch with a Toddler",333
08/26/2023,"Rats and Reality",381
08/26/2023,"Gazing into the Eyes of the Basil-isk",333
08/26/2023,"Daily Meditation",610
08/24/2023,"City of Angels",303
08/24/2023,"Lunch with a Toddler",333
08/24/2023,"Rats and Reality",381
08/24/2023,"Daily Meditation",610
08/23/2023,"Daily Meditation",610
08/23/2023,"Daily Meditation",610
08/22/2023,"Welcome to Work in Progress",95
08/22/2023,"All Roads Lead to Home",375
08/22/2023,"Absolutely Fundamental",328
08/22/2023,"Moment of Disappointment",281
08/22/2023,"Breaks on a Plane",362
08/22/2023,"Renovation Meditation",313
08/22/2023,"The Goal of Work In Progress",363
08/22/2023,"The Magic of Rock Hopping",321
08/22/2023,"Attention Inventions",353
08/22/2023,"Bend It like Buddhism",352
08/22/2023,"Barbieheimer",299
08/22/2023,"Visiting My Childhood Home",269
08/22/2023,"Reflecting on Reflections",279
08/22/2023,"Soft Butter",295
08/22/2023,"Are Waking Up Teachers Enlightened?",353
08/22/2023,"Soda on a Submarine",371
08/22/2023,"Listen Carefully",295
08/22/2023,"City of Angels",303
08/22/2023,"Moment of Disappointment",281
08/22/2023,"Welcome to Work in Progress",95
08/22/2023,"All Roads Lead to Home",375
08/22/2023,"Absolutely Fundamental",328
08/21/2023,"Daily Meditation",610
08/21/2023,"Daily Meditation",611
08/21/2023,"Daily Meditation",611
08/21/2023,"Daily Meditation",611
08/20/2023,"There Is No Error",1141
08/20/2023,"Daily Meditation",610
08/18/2023,"Embracing the Night",1732
08/18/2023,"Soft Butter",1108
08/18/2023,"Countdown to Sleep",1224
08/18/2023,"Daily Meditation",610
08/15/2023,"Daily Meditation",670
08/15/2023,"Daily Meditation",670
08/14/2023,"Daily Meditation",610
08/14/2023,"Daily Meditation",690
08/12/2023,"Daily Meditation",610
08/11/2023,"Daily Meditation",620
08/11/2023,"Daily Meditation",658
08/11/2023,"Daily Meditation",658
08/10/2023,"Daily Meditation",637
08/10/2023,"Daily Meditation",637
08/09/2023,"Daily Meditation",611
08/08/2023,"Beyond the Five Senses",401
08/08/2023,"Come To Your Senses",451
08/08/2023,"Adventurous Listening",419
08/08/2023,"Life Is a Game",389
08/08/2023,"Look the Wrong Way",450
08/08/2023,"The War for Your Attention",414
08/07/2023,"The Pitfalls of Planning",413
08/07/2023,"Moment",61
08/07/2023,"Daily Meditation",611
08/06/2023,"Daily Meditation",620
08/05/2023,"Daily Meditation",610
08/04/2023,"Daily Meditation",610
08/03/2023,"Living from Heart-Mind",748
08/03/2023,"Ground of Love",696
08/03/2023,"Selfless Compassion",753
08/03/2023,"Resting in the Night Sky",638
08/03/2023,"Non-dual Body Scan",719
08/03/2023,"Non-dual Brain Balance",772
08/03/2023,"The You-Turn",552
08/03/2023,"5 Levels of Essential Support",631
08/03/2023,"Mapping Awake Consciousness",584
08/03/2023,"Om Sweet Home",458
08/03/2023,"Awareness Yoga",608
08/03/2023,"The Eyes Have It",605
08/03/2023,"Awareness Follows the Breath Home",606
08/03/2023,"Turn the Light of Awake Awareness Around",647
08/03/2023,"No Problem to Solve",606
08/03/2023,"Awakening Glimpse by Glimpse",1065
08/02/2023,"Daily Meditation",610
08/02/2023,"Daily Meditation",650
07/31/2023,"Daily Meditation",620
07/31/2023,"Welcome to Work in Progress",95
07/31/2023,"All Roads Lead to Home",375
07/31/2023,"All Roads Lead to Home",375
07/31/2023,"Daily Meditation",626
07/31/2023,"Daily Meditation",626
07/31/2023,"Transformative Experiences",5155
07/30/2023,"Daily Meditation",610
07/30/2023,"Daily Meditation",610
07/29/2023,"Transformative Experiences",5155
07/28/2023,"Transformative Experiences",5155
07/26/2023,"Mapping Awake Consciousness",584
07/26/2023,"Mapping Awake Consciousness",584
07/26/2023,"Yoga Nidra 2",1671
07/26/2023,"Yoga Nidra 1",2137
07/26/2023,"Daily Meditation",610
07/25/2023,"Daily Meditation",610
07/25/2023,"Daily Meditation",613
07/25/2023,"Nothing to Gain",1137
07/25/2023,"Suchness",907
07/23/2023,"The Present Moment",909
07/23/2023,"The Present Moment",909
07/20/2023,"Daily Meditation",757
07/19/2023,"Daily Meditation",715
07/19/2023,"Daily Meditation",715
07/19/2023,"Daily Meditation",715
07/19/2023,"Daily Meditation",715
07/18/2023,"Daily Meditation",610
07/17/2023,"The Factors of Awakening",5418
07/15/2023,"Daily Meditation",625
07/14/2023,"Daily Meditation",620
07/14/2023,"Daily Meditation",610
07/13/2023,"Daily Meditation",610
07/12/2023,"Daily Meditation",625
07/11/2023,"Daily Meditation",630
07/11/2023,"Daily Meditation",610
07/10/2023,"Daily Meditation",640
07/10/2023,"Ambition",575
07/09/2023,"Daily Meditation",611
07/09/2023,"Daily Meditation",630
07/08/2023,"Meeting Things As They Are",655
07/08/2023,"Daily Meditation",620
07/08/2023,"Daily Meditation",610
07/08/2023,"Daily Meditation",610
07/08/2023,"Daily Meditation",610
07/07/2023,"Resting as Awareness",888
07/07/2023,"Daily Meditation",661
07/06/2023,"Daily Meditation",650
07/05/2023,"Daily Meditation",610
07/04/2023,"Daily Meditation",621
07/04/2023,"Daily Meditation",621
07/04/2023,"Daily Meditation",621
07/02/2023,"Daily Meditation",610
07/01/2023,"The Direct Path",4785
07/01/2023,"Nondual Presence",499
07/01/2023,"Daily Meditation",630
06/29/2023,"Daily Meditation",610
06/28/2023,"Outro",28
06/28/2023,"Waking Up and Religion",377
06/28/2023,"Dealing With Fidgetiness",274
06/28/2023,"Looking For Your Head",830
06/28/2023,"Negative Emotions",517
06/28/2023,"Recognizing the Next Appearance",330
06/28/2023,"Being Mindful of Anxiety",428
06/28/2023,"Experiencing vs. Intellectualizing",476
06/28/2023,"Using Waking Up as a Believer",228
06/28/2023,"Shadi's Background",333
06/27/2023,"Daily Meditation",610
06/26/2023,"Moment",38
06/26/2023,"Joy",241
06/26/2023,"Meditation Retreats",119
06/26/2023,"The Importance of Connection",591
06/25/2023,"Daily Meditation",610
06/25/2023,"Self & Other",494
06/25/2023,"Daily Meditation",650
06/24/2023,"Daily Meditation",650
06/24/2023,"Beginning",251
06/24/2023,"The Impossibility of Free Will",429
06/24/2023,"The Stoic Adventure",275
06/24/2023,"Moment",105
06/24/2023,"Recognition and Freedom",57
06/24/2023,"Is There a Now?",256
06/24/2023,"Fluid vs. Crystallized Intelligence",637
06/24/2023,"What Is Progress in Meditation?",316
06/24/2023,"How to Look for What’s Looking",230
06/24/2023,"Tourists vs. Pilgrims",381
06/24/2023,"Moment",38
06/24/2023,"The Paradox of Awakening",272
06/24/2023,"Finding Awe in the Mundane",540
06/24/2023,"Hindu vs. Buddhist Ideas of Self",226
06/24/2023,"An Awareness of Death",286
06/23/2023,"Offering Thanks",31
06/23/2023,"Unskillful Doubt",215
06/23/2023,"Moment",35
06/23/2023,"Solving Problems",301
06/23/2023,"Mindful Walking",316
06/23/2023,"Don’t Try So Hard",153
06/23/2023,"The Second Arrow",181
06/23/2023,"Anger",319
06/23/2023,"Prickles and Goo",458
06/23/2023,"Moment",73
06/23/2023,"Mindfulness and Physical Suffering",324
06/23/2023,"Daily Meditation",610
06/22/2023,"The Storytelling Frame",268
06/22/2023,"Autonomy and Emptiness",135
06/22/2023,"Autonomy and Emptiness",135
06/20/2023,"Daily Meditation",620
06/16/2023,"Meditation and Personality",300
06/16/2023,"Meditation and Ethics",217
06/16/2023,"A Playful Perspective",270
06/15/2023,"Daily Meditation",676
06/15/2023,"Moment",44
06/15/2023,"The Art of Doing Nothing",542
06/15/2023,"Beginning",251
06/15/2023,"Our Attitude Toward Aversion",107
06/15/2023,"Philosophy of the Unknowable",554
06/15/2023,"Cultivating Compassion",549
06/15/2023,"Finding Awe in the Mundane",540
06/15/2023,"Daily Meditation",610
06/15/2023,"The Natural State",4330
06/14/2023,"The Natural State",4330
06/14/2023,"Daily Meditation",620
06/13/2023,"Daily Meditation",663
06/13/2023,"Daily Meditation",663
06/12/2023,"Seeing the Background",241
06/12/2023,"Daily Meditation",611
06/12/2023,"Daily Meditation",611
06/12/2023,"Daily Meditation",611
06/12/2023,"Daily Meditation",611
06/11/2023,"Waiting",396
06/11/2023,"Introduction",396
06/10/2023,"The Lessons of Death",400
06/10/2023,"Daily Meditation",610
06/08/2023,"Meeting Things As They Are",655
06/08/2023,"Nondual Presence",499
06/08/2023,"Daily Meditation",715
06/08/2023,"Nondual Presence",499
06/08/2023,"Daily Meditation",715
06/08/2023,"Daily Meditation",620
06/06/2023,"Nondual Presence",499
06/06/2023,"Daily Meditation",610
06/05/2023,"Daily Meditation",625
06/05/2023,"Daily Meditation",625
06/04/2023,"Daily Meditation",620
06/02/2023,"Wind in the Warehouse",176
06/02/2023,"The Eyes of an Eagle",327
06/02/2023,"Bottoms of the Feet",286
06/02/2023,"Daily Meditation",610
06/02/2023,"Waiting",396
06/02/2023,"Introduction",396
05/31/2023,"Nondual Presence",499
05/31/2023,"Daily Meditation",630
05/31/2023,"Daily Meditation",610
05/31/2023,"Meeting Things As They Are",655
05/31/2023,"Meeting Things As They Are",655
05/30/2023,"Daily Meditation",620
05/30/2023,"Constructing Self and World",7055
05/26/2023,"Daily Meditation",637
05/26/2023,"Constructing Self and World",7055
05/25/2023,"Daily Meditation",610
05/24/2023,"Daily Meditation",610
05/22/2023,"Daily Meditation",610
05/21/2023,"Moment",122
05/20/2023,"Daily Meditation",627
05/19/2023,"Daily Meditation",650
05/18/2023,"Daily Meditation",720
05/17/2023,"Daily Meditation",610
05/17/2023,"Predictably Irrational",1104
05/17/2023,"7 Techniques to Manage Emotions",1215
05/16/2023,"Giving In to Feel Good",794
05/16/2023,"Costs of Procrastination",632
05/16/2023,"Daily Meditation",610
05/15/2023,"Daily Meditation",610
05/15/2023,"Predictably Irrational",1104
05/15/2023,"7 Techniques to Manage Emotions",1215
05/15/2023,"Giving In to Feel Good",794
05/15/2023,"7 Techniques to Manage Emotions",1215
05/15/2023,"Daily Meditation",610
05/12/2023,"Daily Meditation",613
05/12/2023,"Daily Meditation",613
05/11/2023,"Daily Meditation",610
05/11/2023,"7 Techniques to Manage Emotions",1215
05/11/2023,"Giving In to Feel Good",794
05/11/2023,"Costs of Procrastination",632
05/11/2023,"Name It to Tame It",524
05/11/2023,"7 Techniques to Manage Emotions",1215
05/11/2023,"Giving In to Feel Good",794
05/11/2023,"Costs of Procrastination",632
05/11/2023,"Name It to Tame It",524
05/10/2023,"Daily Meditation",610
05/09/2023,"Moment",119
05/09/2023,"Daily Meditation",640
05/09/2023,"Daily Meditation",610
05/08/2023,"Daily Meditation",610
05/07/2023,"Daily Meditation",661
05/06/2023,"Daily Meditation",715
05/06/2023,"Daily Meditation",715
05/06/2023,"Being Still",3485
05/03/2023,"Daily Meditation",610
05/02/2023,"Daily Meditation",611
05/01/2023,"Daily Meditation",622
04/28/2023,"Daily Meditation",610
04/27/2023,"The Mind Itself",1947
04/27/2023,"The Ungraspable Moment",2313
04/26/2023,"Daily Meditation",610
04/25/2023,"Local Awareness and Attention",773
04/25/2023,"Glimpsing with Open Eyes",746
04/25/2023,"Awakening Emotions",623
04/25/2023,"The Memory Door",644
04/25/2023,"Beyond the Meditator",550
04/24/2023,"Daily Meditation",757
04/22/2023,"Daily Meditation",610
04/21/2023,"Daily Meditation",610
04/20/2023,"Daily Meditation",605
04/19/2023,"Daily Meditation",611
04/18/2023,"The Ultimate Nature of Things",5858
04/18/2023,"Daily Meditation",610
04/17/2023,"Daily Meditation",620
04/15/2023,"Always Being, Always Becoming",315
04/15/2023,"The Astonishing Nature of Everything",494
