Finished On,Title,Duration
04/15/2023,"The Path to Awakening",2998
04/14/2023,"Daily Meditation",610
04/14/2023,"The Path to Awakening",2998
04/14/2023,"A Message to Members",264
04/13/2023,"Daily Meditation",611
04/12/2023,"Daily Meditation",630
04/11/2023,"Daily Meditation",651
04/11/2023,"Daily Meditation",651
04/09/2023,"Daily Meditation",606
04/09/2023,"Sweeping the Floor",267
04/09/2023,"Do We Ever Really Know a Person?",442
04/08/2023,"Daily Meditation",625
04/07/2023,"Just Sitting",1800
04/07/2023,"Total Spontaneity",1800
04/07/2023,"Stillness Within the Noise",1800
04/07/2023,"Meeting Things As They Are",655
04/07/2023,"Daily Meditation",611
04/05/2023,"Daily Meditation",625
04/05/2023,"Defining and Defending the Self",328
04/05/2023,"This Person Could Die Tonight",282
04/05/2023,"Gratitude for the Body",472
04/05/2023,"Clearing Out the Day",193
04/05/2023,"What Is Your Tongue Doing Now?",300
04/05/2023,"One Bite At a Time",302
04/05/2023,"Looking Deeply Into Your Food",454
04/05/2023,"Becoming Aware of Space",358
04/05/2023,"Waiting",396
04/05/2023,"Introduction",396
04/03/2023,"Daily Meditation",601
04/03/2023,"Daily Meditation",601
04/02/2023,"Daily Meditation",609
04/02/2023,"Stages of Awakening",670
04/02/2023,"Sweeping the Floor",267
04/02/2023,"Do We Ever Really Know a Person?",442
03/31/2023,"Daily Meditation",615
03/31/2023,"The Field of Experience",1866
03/31/2023,"Daily Meditation",615
03/31/2023,"Daily Meditation",615
03/30/2023,"The Whole of Life",5606
03/28/2023,"Crossing the River",529
03/28/2023,"Eyewitness",445
03/27/2023,"Crossing the River",529
03/27/2023,"Eyewitness",445
03/27/2023,"Heaven and Hell in Thailand",503
03/27/2023,"Daily Meditation",615
03/27/2023,"Daily Meditation",615
03/26/2023,"Daily Meditation",633
03/25/2023,"Daily Meditation",605
03/24/2023,"The Most Important Thing",4919
03/24/2023,"Emotional Opposites",744
03/24/2023,"Pure Perception",1003
03/22/2023,"Daily Meditation",598
03/22/2023,"Introduction",212
03/22/2023,"Living from Heart-Mind",748
03/22/2023,"Ground of Love",696
03/22/2023,"Selfless Compassion",753
03/21/2023,"Resting in the Night Sky",638
03/21/2023,"Non-dual Body Scan",719
03/21/2023,"Daily Meditation",602
03/20/2023,"Crossing the River",529
03/20/2023,"Eyewitness",445
03/19/2023,"Daily Meditation",625
03/19/2023,"Eyewitness",445
03/17/2023,"Awareness Yoga",608
03/17/2023,"The Eyes Have It",605
03/17/2023,"Awareness Follows the Breath Home",606
03/17/2023,"Turn the Light of Awake Awareness Around",647
03/17/2023,"No Problem to Solve",606
03/17/2023,"Awakening Glimpse by Glimpse",1065
03/17/2023,"Progress in Meditation",335
03/17/2023,"Personality and Selflessness",988
03/17/2023,"Daily Meditation",599
03/17/2023,"Getting Lost in Books",499
03/16/2023,"Hitchhiking and Riding the Rails",489
03/16/2023,"Philosophy of the Unknowable",554
03/16/2023,"Getting Lost",580
03/15/2023,"Daily Meditation",611
03/15/2023,"Working with Stress",565
03/15/2023,"Dealing with Depression",517
03/15/2023,"Making Peace with Anxiety",533
03/15/2023,"Introduction to Part 2",60
03/15/2023,"Working with Distress",465
03/15/2023,"Mindful Action",482
03/15/2023,"Working With Behavior",617
03/15/2023,"Thoughts Support Mindful Presence",516
03/15/2023,"Addressing Core Beliefs",507
03/15/2023,"Working with Thoughts",510
03/15/2023,"Finding Leverage",500
03/15/2023,"Fundamentals of Mindful CBT",573
03/15/2023,"Navigating Relationship Difficulty",505
03/14/2023,"Daily Meditation",592
03/14/2023,"Daily Meditation",592
03/14/2023,"Daily Meditation",592
03/14/2023,"Daily Meditation",592
03/13/2023,"Daily Meditation",592
03/13/2023,"Daily Meditation",592
03/12/2023,"Navigating Relationship Difficulty",505
03/11/2023,"Daily Meditation",612
03/11/2023,"Daily Meditation",612
03/10/2023,"Daily Meditation",601
03/09/2023,"Navigating Relationship Difficulty",505
03/09/2023,"Addressing Problematic Anger",497
03/09/2023,"Working with Procrastination",510
03/09/2023,"Working with Insomnia",570
03/09/2023,"Working with Stress",565
03/09/2023,"Dealing with Depression",517
03/09/2023,"Making Peace with Anxiety",533
03/09/2023,"Introduction to Part 2",60
03/07/2023,"Daily Meditation",636
03/07/2023,"Daily Meditation",636
03/05/2023,"Daily Meditation",629
03/05/2023,"The Ultimate Nature of Things",5858
03/02/2023,"Daily Meditation",600
03/02/2023,"Daily Meditation",600
03/02/2023,"Daily Meditation",612
02/28/2023,"Daily Meditation",600
02/27/2023,"Daily Meditation",614
02/27/2023,"Daily Meditation",614
02/26/2023,"Daily Meditation",602
02/25/2023,"Daily Meditation",599
02/25/2023,"Daily Meditation",599
02/24/2023,"Daily Meditation",602
02/24/2023,"Daily Meditation",602
02/23/2023,"Daily Meditation",605
02/23/2023,"Walking in Public",1228
02/23/2023,"Nondual Presence",499
02/23/2023,"Daily Meditation",698
02/23/2023,"The Mystery of Being",1800
02/23/2023,"Daily Meditation",740
02/23/2023,"Daily Meditation",615
02/23/2023,"Nondual Presence",499
02/22/2023,"Daily Meditation",605
02/22/2023,"Daily Meditation",605
02/22/2023,"Daily Meditation",605
02/21/2023,"Daily Meditation",658
02/21/2023,"Daily Meditation",658
02/21/2023,"Daily Meditation",658
02/21/2023,"Daily Meditation",658
02/21/2023,"Daily Meditation",658
02/19/2023,"The Ultimate Nature of Things",5858
02/18/2023,"Daily Meditation",615
02/17/2023,"Daily Meditation",640
02/15/2023,"Daily Meditation",613
02/13/2023,"Daily Meditation",610
02/12/2023,"The Direct Path",4785
02/12/2023,"Daily Meditation",631
02/11/2023,"Mindful Action",482
02/11/2023,"Working With Behavior",617
02/10/2023,"Daily Meditation",698
02/10/2023,"The Mystery of Being",1800
02/10/2023,"Daily Meditation",740
02/10/2023,"Daily Meditation",615
02/10/2023,"Daily Meditation",603
02/10/2023,"Meeting Things As They Are",655
02/10/2023,"Nondual Presence",499
02/10/2023,"Daily Meditation",698
02/10/2023,"The Mystery of Being",1800
02/10/2023,"Daily Meditation",600
02/09/2023,"The Cloud of Unknowing",561
02/07/2023,"Daily Meditation",603
02/06/2023,"Daily Meditation",604
02/06/2023,"Daily Meditation",604
02/06/2023,"The Most Important Thing",4919
02/06/2023,"Course 236",599
02/05/2023,"Daily Meditation",601
02/05/2023,"The Most Important Thing",4919
02/05/2023,"The Most Important Thing",4919
02/04/2023,"The Most Important Thing",4919
02/04/2023,"The Most Important Thing",4919
02/04/2023,"The Most Important Thing",4919
02/04/2023,"Daily Meditation",634
02/03/2023,"Daily Meditation",688
02/02/2023,"Working with Distress",465
02/02/2023,"Mindful Action",482
02/02/2023,"Working With Behavior",617
02/02/2023,"Thoughts Support Mindful Presence",516
02/02/2023,"Addressing Core Beliefs",507
02/02/2023,"Working with Thoughts",510
02/02/2023,"Finding Leverage",500
02/02/2023,"Fundamentals of Mindful CBT",573
02/02/2023,"Introduction",396
02/01/2023,"Daily Meditation",611
02/01/2023,"Always and Already",807
01/30/2023,"Always Being, Always Becoming",315
01/30/2023,"The Astonishing Nature of Everything",494
01/30/2023,"Allowing the Moment to Be As It Is",315
01/30/2023,"The Ever-Changing Nature of Now",348
01/30/2023,"There Is No Future",257
01/30/2023,"Inseparable from the Moment",174
01/30/2023,"How Long Is Now?",375
01/30/2023,"Relaxing the Nervous System",942
01/30/2023,"Daily Meditation",609
01/29/2023,"Daily Meditation",610
01/29/2023,"Daily Meditation",610
01/28/2023,"Daily Meditation",647
01/26/2023,"Always Being, Always Becoming",315
01/26/2023,"The Astonishing Nature of Everything",494
01/26/2023,"Allowing the Moment to Be As It Is",315
01/26/2023,"The Ever-Changing Nature of Now",348
01/26/2023,"There Is No Future",257
01/26/2023,"Inseparable from the Moment",174
01/26/2023,"How Long Is Now?",375
01/26/2023,"The Past Cannot Be Found",232
01/26/2023,"Being Here Now",347
01/26/2023,"The Flow of This",224
01/26/2023,"Deep Rest for Awakening",758
01/25/2023,"The Seeing of It",4123
01/24/2023,"Daily Meditation",614
01/24/2023,"Outro",32
01/24/2023,"The Scientific Study of Meditation",464
01/24/2023,"Non-duality & Behavioral Change",924
01/22/2023,"Are Animals Enlightened?",502
01/22/2023,"Gaining Insight into Non-duality",582
01/22/2023,"Gaining Insight into Non-duality",582
01/22/2023,"Gaining Insight into Non-duality",582
01/22/2023,"Instantaneous Selflessness",354
01/22/2023,"Instantaneous Selflessness",354
01/22/2023,"Looking for the Subject",783
01/22/2023,"The Retreat Experience",493
01/22/2023,"The Benefits of Meditation",222
01/22/2023,"Introduction and Background",350
01/20/2023,"The Seeing of It",4123
01/20/2023,"The Seeing of It",4123
01/18/2023,"Deep Rest for Awakening",756
01/17/2023,"Moment",53
01/17/2023,"Deep Rest for Awakening",756
01/17/2023,"Exploring the I-Thought",667
01/16/2023,"Safety In the Body",667
01/16/2023,"Deep Rest for Awakening",756
01/16/2023,"Exploring the I-Thought",667
01/16/2023,"Deep Rest for Sleep",1402
01/16/2023,"Safety In the Body",667
01/15/2023,"Introduction",371
01/14/2023,"Daily Meditation",637
01/13/2023,"Daily Meditation",604
01/13/2023,"The Long Game",6555
01/13/2023,"The Long Game",6555
01/13/2023,"The Long Game",6555
01/13/2023,"The Long Game",6555
01/12/2023,"Daily Meditation",605
01/11/2023,"Daily Meditation",609
01/11/2023,"Always Being, Always Becoming",314
01/11/2023,"Always Being, Always Becoming",314
01/11/2023,"The Astonishing Nature of Everything",493
01/11/2023,"Allowing the Moment to Be As It Is",314
01/10/2023,"Always Being, Always Becoming",314
01/10/2023,"The Astonishing Nature of Everything",493
01/10/2023,"Daily Meditation",609
01/10/2023,"Letting Go of Tension",1218
01/10/2023,"Settling into Deep Rest",1201
01/10/2023,"Yoga Nidra 3",2277
01/09/2023,"Yoga Nidra 2",1920
01/08/2023,"Allowing the Moment to Be As It Is",314
01/08/2023,"The Ever-Changing Nature of Now",347
01/08/2023,"There Is No Future",256
01/08/2023,"Inseparable from the Moment",174
01/08/2023,"How Long Is Now?",374
01/08/2023,"The Past Cannot Be Found",232
01/08/2023,"Being Here Now",346
01/08/2023,"The Flow of This",223
01/08/2023,"Introduction",205
01/06/2023,"Daily Meditation",856
01/04/2023,"Attention vs. Awareness",802
01/04/2023,"Daily Meditation",614
01/03/2023,"Daily Meditation",587
01/01/2023,"Here Now",612
01/01/2023,"Yoga Nidra 1",2136
12/31/2022,"Daily Meditation",603
12/31/2022,"Daily Meditation",603
12/30/2022,"Daily Meditation",603
12/30/2022,"A State of Allowing",1800
12/29/2022,"The Three Commitments",1800
12/29/2022,"Shifting from Head to Heart",756
12/29/2022,"Shifting from Head to Heart",756
12/28/2022,"Shifting from Head to Heart",756
12/28/2022,"Meeting Things As They Are",653
12/28/2022,"Daily Meditation",603
12/27/2022,"Daily Meditation",604
12/26/2022,"Daily Meditation",617
12/25/2022,"Daily Meditation",603
12/24/2022,"Daily Meditation",629
12/24/2022,"Daily Meditation",629
12/23/2022,"Daily Meditation",608
12/23/2022,"Daily Meditation",608
12/23/2022,"The Value of In-Person Practice",1018
12/20/2022,"The Truth of Non-duality",946
12/20/2022,"What Is Emptiness?",842
12/20/2022,"Consistency in Meditation",359
12/19/2022,"Daily Meditation",622
12/19/2022,"Daily Meditation",622
12/18/2022,"Daily Meditation",615
12/18/2022,"Consistency in Meditation",359
12/18/2022,"Sam’s Meditation Practice",379
12/18/2022,"Thinking vs. Recognizing",1071
12/16/2022,"Tamler’s Experience with Meditation",759
12/16/2022,"Tamler’s Experience with Meditation",759
12/16/2022,"Introduction and Background",235
12/16/2022,"Daily Meditation",615
12/16/2022,"Daily Meditation",615
12/14/2022,"Daily Meditation",635
12/14/2022,"Course 642",66
12/13/2022,"Daily Meditation",635
12/13/2022,"Daily Meditation",615
12/12/2022,"Daily Meditation",608
12/12/2022,"Daily Meditation",608
12/12/2022,"Daily Meditation",606
12/11/2022,"Daily Meditation",606
12/11/2022,"A Lamp To Dispel Darkness",1726
12/09/2022,"Constellations of Thought",2407
12/09/2022,"Beyond Attachment",1395
12/08/2022,"Who Am I?",675
12/08/2022,"Just This!",667
12/07/2022,"Daily Meditation",604
12/07/2022,"Daily Meditation",599
12/06/2022,"Just This!",667
12/05/2022,"Stages of Awakening",668
12/05/2022,"Global Awareness",583
12/05/2022,"Investigating Thoughts",614
12/05/2022,"Daily Meditation",631
12/05/2022,"Daily Meditation",618
12/04/2022,"From Doing to Non-Doing",1800
12/04/2022,"Daily Meditation",600
12/03/2022,"Daily Meditation",740
12/03/2022,"Daily Meditation",740
12/02/2022,"Daily Meditation",673
12/01/2022,"The Mystery of Being",1800
12/01/2022,"No Distractions",249
11/28/2022,"Daily Meditation",634
11/28/2022,"Daily Meditation",634
11/28/2022,"Daily Meditation",634
11/26/2022,"Nondual Presence",498
11/25/2022,"Awareness Is Already Present",1800
11/24/2022,"Nondual Presence",498
11/24/2022,"Daily Meditation",602
11/23/2022,"Nondual Presence",498
11/23/2022,"Daily Meditation",600
11/23/2022,"Gratitude",249
11/22/2022,"Nondual Presence",498
11/21/2022,"Nondual Presence",498
11/21/2022,"Nondual Presence",498
11/20/2022,"Nondual Presence",498
11/20/2022,"Nondual Presence",498
11/20/2022,"Daily Meditation",646
11/20/2022,"Daily Meditation",664
11/19/2022,"On Gurus",2195
11/18/2022,"The Mystery of Being",1800
11/18/2022,"Easing into Effortlessness",1800
11/18/2022,"Awareness Is Already Present",1800
11/18/2022,"Moment",45
11/18/2022,"5. Metta For a Difficult Person",1094
11/18/2022,"4. Metta for Ourselves",659
11/18/2022,"3. Metta for a Benefactor",897
11/18/2022,"2. Metta for a Neutral Person",921
11/18/2022,"1. Metta for All Beings",830
11/18/2022,"Introduction",574
11/17/2022,"Meditation vs. Flow States",246
11/17/2022,"Non-dual Awareness",182
11/17/2022,"Thinking and Mindfulness",517
11/17/2022,"Destabilizing Experiences",1034
11/17/2022,"Consciousness and Its Contents",107
11/17/2022,"Attention vs. Awareness",802
11/17/2022,"Daily Meditation",632
11/16/2022,"Outro",36
11/16/2022,"Psychedelics",572
11/16/2022,"The Nature of Thought",922
11/16/2022,"Experience and the Self",1098
11/16/2022,"The Logic of Meditation",924
11/16/2022,"Daily Meditation",610
11/16/2022,"Daily Meditation",610
11/15/2022,"Outro",36
11/15/2022,"Psychedelics",572
11/15/2022,"The Nature of Thought",922
11/15/2022,"Experience and the Self",1098
11/15/2022,"The Logic of Meditation",924
11/15/2022,"The Object of Meditation",304
11/15/2022,"Eyes Open vs. Eyes Closed",268
11/15/2022,"Noticing vs. Thinking",399
11/15/2022,"Introduction and Background",177
11/14/2022,"Daily Meditation",688
11/13/2022,"Daily Meditation",602
11/12/2022,"Global Awareness",583
11/12/2022,"Rest and Allow",615
11/12/2022,"The Direct Approach",678
11/10/2022,"Global Awareness",583
11/09/2022,"Finding Hope",702
11/09/2022,"Daily Meditation",613
11/09/2022,"Daily Meditation",613
11/07/2022,"Daily Meditation",664
11/07/2022,"Daily Meditation",664
11/07/2022,"Daily Meditation",664
11/05/2022,"Course -526",11
11/05/2022,"Course -526",11
11/05/2022,"Closing",40
11/05/2022,"Metta Meditation",1271
11/05/2022,"Walking Meditation 3",1207
11/05/2022,"Six Words of Advice",2969
11/05/2022,"'Silence'",203
11/05/2022,"Introduction to David Whyte and Jayasāra",41
11/05/2022,"Sitting Meditation 2",1833
11/05/2022,"Walking Meditation 2",623
11/05/2022,"The Art and Science of Meditation",3234
11/05/2022,"Introduction to Joseph Goldstein",55
11/05/2022,"Looking in the Mirror",574
11/05/2022,"Walking Meditation",1214
11/05/2022,"Sitting Meditation",1809
11/05/2022,"The Logic of Retreats",293
11/04/2022,"Daily Meditation",618
11/04/2022,"Daily Meditation",618
11/03/2022,"Daily Meditation",608
11/01/2022,"Daily Meditation",600
11/01/2022,"The Foundation of Being",1800
11/01/2022,"A State of Allowing",1800
11/01/2022,"Daily Meditation",600
10/31/2022,"The Three Commitments",1800
10/31/2022,"Daily Meditation",600
10/29/2022,"Daily Meditation",602
10/28/2022,"Daily Meditation",620
10/27/2022,"Daily Meditation",633
10/26/2022,"Daily Meditation",617
10/25/2022,"Daily Meditation",856
10/24/2022,"Daily Meditation",629
10/22/2022,"Naked Awareness",2092
10/22/2022,"Beyond Interpretation",2060
10/21/2022,"Announcing Our In-App Retreat",167
10/20/2022,"Daily Meditation",608
10/20/2022,"Nondual Mindfulness",5728
10/20/2022,"Daily Meditation",608
10/18/2022,"Daily Meditation",674
10/18/2022,"Beyond Interpretation",2060
10/16/2022,"Announcing Our In-App Retreat",167
10/16/2022,"Daily Meditation",602
10/15/2022,"Daily Meditation",615
10/15/2022,"Daily Meditation",615
10/15/2022,"Constellations of Thought",2407
10/14/2022,"Daily Meditation",610
10/13/2022,"Introduction",94
10/13/2022,"Daily Meditation",613
10/10/2022,"Daily Meditation",608
10/08/2022,"Daily Meditation",608
10/07/2022,"Daily Meditation",660
10/07/2022,"Daily Meditation",660
10/06/2022,"Daily Meditation",622
10/04/2022,"Daily Meditation",602
10/03/2022,"Bare Knowing",1086
10/03/2022,"We Have Not Been Here Before",222
10/03/2022,"Turn the Light of Awake Awareness Around",646
10/03/2022,"Turn the Light of Awake Awareness Around",646
10/03/2022,"Turn the Light of Awake Awareness Around",646
10/03/2022,"Turn the Light of Awake Awareness Around",646
10/03/2022,"Turn the Light of Awake Awareness Around",646
10/03/2022,"No Problem to Solve",604
10/03/2022,"No Problem to Solve",604
10/01/2022,"Awakening Glimpse by Glimpse",1062
10/01/2022,"Daily Meditation",600
10/01/2022,"Daily Meditation",600
09/30/2022,"Working with Pain",961
09/30/2022,"Preparing for the End",7531
09/30/2022,"Daily Meditation",740
09/29/2022,"Daily Meditation",607
09/29/2022,"Joy",240
09/28/2022,"Daily Meditation",612
09/27/2022,"Daily Meditation",606
09/26/2022,"Daily Meditation",611
09/26/2022,"Daily Meditation",611
09/26/2022,"Daily Meditation",611
09/24/2022,"Daily Meditation",618
09/23/2022,"Daily Meditation",603
09/21/2022,"Daily Meditation",631
09/21/2022,"Daily Meditation",631
09/21/2022,"Daily Meditation",631
09/20/2022,"A Glimpse of Awakening",603
09/19/2022,"Daily Meditation",655
09/18/2022,"Daily Meditation",658
09/17/2022,"Daily Meditation",673
09/17/2022,"Daily Meditation",673
09/16/2022,"Daily Meditation",616
09/16/2022,"The Direct Approach",678
09/16/2022,"Daily Meditation",616
09/16/2022,"Daily Meditation",616
09/15/2022,"Daily Meditation",611
09/15/2022,"The Real Self",1354
09/15/2022,"You Are Peace",1676
09/15/2022,"Daily Meditation",611
09/15/2022,"This Is It",740
09/14/2022,"This Is It",740
09/14/2022,"Daily Meditation",605
09/14/2022,"Daily Meditation",605
09/14/2022,"Daily Meditation",605
09/13/2022,"Daily Meditation",622
09/13/2022,"Daily Meditation",622
09/13/2022,"Daily Meditation",622
09/12/2022,"Daily Meditation",651
09/11/2022,"Daily Meditation",607
09/09/2022,"Daily Meditation",600
09/08/2022,"The Bedtime Meditation",711
09/08/2022,"A Message from Sam",286
09/07/2022,"Nondual Mindfulness",5728
09/06/2022,"Daily Meditation",603
09/06/2022,"Status Games",4990
09/06/2022,"Daily Meditation",603
09/05/2022,"Daily Meditation",664
09/05/2022,"Daily Meditation",664
09/03/2022,"Daily Meditation",632
09/02/2022,"Psychedelic Science",7359
09/01/2022,"Daily Meditation",634
09/01/2022,"Gradual vs. Sudden Realization",1745
09/01/2022,"Daily Meditation",634
09/01/2022,"Daily Meditation",634
08/31/2022,"Daily Meditation",614
08/31/2022,"Daily Meditation",614
08/30/2022,"Daily Meditation",602
08/29/2022,"Daily Meditation",600
08/28/2022,"Mindfulness of Breathing",1533
08/27/2022,"Rest and Allow",615
08/26/2022,"Who Am I?",675
08/26/2022,"Just This!",667
08/26/2022,"Nondual Presence",498
08/26/2022,"Stages of Awakening",668
08/26/2022,"Mirror Gazing",498
08/26/2022,"Welcoming Emotions",612
08/26/2022,"Investigating Thoughts",614
08/26/2022,"Global Awareness",583
08/26/2022,"Rest and Allow",615
08/26/2022,"About Koans – A Talk",523
08/26/2022,"Daily Meditation",613
08/26/2022,"Daily Meditation",613
08/26/2022,"Daily Meditation",613
08/26/2022,"Daily Meditation",613
08/26/2022,"Daily Meditation",653
08/25/2022,"Daily Meditation",653
08/25/2022,"Daily Meditation",653
08/25/2022,"Daily Meditation",653
08/24/2022,"About Koans – A Talk",523
08/24/2022,"About Koans – A Talk",523
08/23/2022,"About Koans – A Talk",523
08/22/2022,"Welcoming Emotions",612
08/22/2022,"Investigating Thoughts",614
08/22/2022,"Global Awareness",583
08/22/2022,"Rest and Allow",615
08/22/2022,"The Direct Approach",678
08/22/2022,"Introduction (Sam Harris)",104
08/22/2022,"You Are Living the Dream Life",867
08/20/2022,"Introduction",1280
08/19/2022,"Nondual Mindfulness",5728
08/18/2022,"Nondual Mindfulness",5728
08/18/2022,"Daily Meditation",604
08/18/2022,"Daily Meditation",604
08/16/2022,"Daily Meditation",602
08/15/2022,"Daily Meditation",633
08/15/2022,"Daily Meditation",633
08/15/2022,"Daily Meditation",633
08/15/2022,"Daily Meditation",633
08/15/2022,"Just This!",667
08/14/2022,"Just This!",667
08/13/2022,"Daily Meditation",645
08/10/2022,"Patience as a Superpower",695
08/10/2022,"Planning",616
08/10/2022,"How Distraction Works",756
08/10/2022,"The Art of Saying No",606
08/10/2022,"Limiting Your Work in Progress",645
08/10/2022,"Deciding",706
08/10/2022,"The Joy of Missing Out",653
08/10/2022,"Escaping the Efficiency Trap",665
08/10/2022,"Daily Meditation",604
08/10/2022,"Daily Meditation",604
08/09/2022,"Daily Meditation",610
08/08/2022,"The Art of Living",4697
08/08/2022,"The Art of Living",4697
08/07/2022,"Daily Meditation",698
08/06/2022,"Daily Meditation",600
08/06/2022,"Daily Meditation",600
08/02/2022,"Daily Meditation",613
08/01/2022,"Daily Meditation",856
08/01/2022,"Daily Meditation",856
07/31/2022,"Daily Meditation",629
07/30/2022,"Daily Meditation",605
07/30/2022,"Daily Meditation",605
07/30/2022,"The Pathless Path",6228
07/28/2022,"Daily Meditation",608
07/27/2022,"Daily Meditation",608
07/26/2022,"Daily Meditation",613
07/26/2022,"Daily Meditation",613
07/26/2022,"Daily Meditation",613
07/25/2022,"Daily Meditation",600
07/25/2022,"Daily Meditation",600
07/24/2022,"Mental Health",603
07/24/2022,"Learning and Memory",926
07/24/2022,"Sleep Tracking",924
07/24/2022,"Insomnia",3605
07/24/2022,"Meditation and Sleep",855
07/24/2022,"REM Sleep and Dreaming",2377
07/24/2022,"Mental Health",603
07/24/2022,"Learning and Memory",926
07/24/2022,"Why Do We Sleep?",1785
07/24/2022,"Sleep Tracking",924
07/24/2022,"Insomnia",3605
07/24/2022,"Meditation and Sleep",855
07/24/2022,"REM Sleep and Dreaming",2377
07/24/2022,"Mental Health",603
07/24/2022,"Learning and Memory",926
07/24/2022,"Why Do We Sleep?",1785
07/24/2022,"What Is Sleep?",2246
07/22/2022,"Insomnia",3605
07/22/2022,"Meditation and Sleep",855
07/22/2022,"REM Sleep and Dreaming",2377
07/22/2022,"Mental Health",603
07/22/2022,"Learning and Memory",926
07/22/2022,"Why Do We Sleep?",1785
07/22/2022,"What Is Sleep?",2246
07/22/2022,"Introduction (Sam Harris)",159
07/21/2022,"Why Wealth Matters",6893
07/20/2022,"Escaping the Efficiency Trap",665
07/20/2022,"Facing Finitude",594
07/19/2022,"Moment",44
07/19/2022,"Daily Meditation",698
07/18/2022,"Daily Meditation",603
07/18/2022,"Daily Meditation",603
07/17/2022,"Daily Meditation",606
07/15/2022,"Daily Meditation",646
07/13/2022,"Daily Meditation",603
07/13/2022,"Daily Meditation",603
07/12/2022,"Daily Meditation",602
07/11/2022,"Daily Meditation",615
07/10/2022,"Daily Meditation",620
07/10/2022,"Daily Meditation",620
07/09/2022,"Daily Meditation",655
07/08/2022,"Daily Meditation",658
07/07/2022,"Daily Meditation",605
07/06/2022,"Daily Meditation",603
07/05/2022,"Daily Meditation",593
